Index,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,UK,77.8,78,78.2,78.3,78.8,79,79.3,79.5,79.6,81,82,86,86,87,81,81.2
1,Australia,79.5,79.9,79.9,83,86,81,81.2,81.3,81.3,81.7,81.9,82,82.3,82.5,82.7,82.8
2,Italy,79.4,79.8,80,79.9,89,88,81.2,81.3,81.5,81.6,81.8,82,82,82.3,82.5,82.7
3,France,78.8,79,79.2,79.3,82,81,86,89,89,81.1,81.3,81.7,81.5,82,82.2,82.4
4,Switzerland,79.7,82,84,85,81,81.1,81.5,81.7,82,82.1,82.3,82.6,82.7,83,83.2,83.4
5,Nigeria,47.1,47.4,47.7,48.1,48.5,49.2,49.8,55,59,51.6,52,52.3,52.7,53.2,53.6,54.5
6,Swaziland,48.4,47.1,46.4,45.9,45.6,46,47.8,50,51.4,52.6,53.6,55,56.5,57.6,58.4,58.9
7,Tanzania,49.2,49.6,52,58,51.5,52.2,53.1,54.5,56.2,56.9,57.5,58.3,58.6,59.7,67,61.8
8,Zambia,43.8,44.6,45.5,46.4,47.9,49.3,58,52.6,55.7,57.4,58,58.2,59.2,63,61.1,61.8
9,Zimbabwe,46,45.3,44.8,44.5,44.3,44.6,45.4,46.6,48.2,50,52.4,54.9,56.6,58,59.2,67
